close,change,momentum,Prediction
43.3187,0.2283,1.0,48.1299
43.4504,0.1317,1.0,48.7357
43.4767,0.0263,1.0,48.4021
43.1782,-0.2985,-1.0,48.1738
43.5294,0.3512,1.0,47.928
43.6611,0.1317,1.0,47.9104
43.6874,0.0263,1.0,47.4188
43.5031,-0.1844,-1.0,47.6119
43.4592,-0.0439,-1.0,47.6295
43.7577,0.2985,1.0,47.2256
43.8455,0.0878,1.0,47.2695
43.1168,-0.7287,-1.0,47.6295
42.8885,-0.2283,-1.0,47.2871
43.0114,0.1229,1.0,47.2432
43.5558,0.5443,1.0,47.2344
43.8982,0.3424,1.0,47.252
43.3626,-0.5356,-1.0,47.5066
43.7489,0.3863,1.0,47.8841
44.3635,0.6146,1.0,47.691
44.1879,-0.1756,-1.0,48.1738
43.9596,-0.2283,-1.0,47.7963
44.6708,0.7112,1.0,47.8402
44.6971,0.0263,1.0,47.3047
44.2406,-0.4565,-1.0,47.6471
44.2581,0.0176,1.0,47.9368
43.986,-0.2722,-1.0,48.2441
43.3099,-0.676,-1.0,48.1826
42.4583,-0.8516,-1.0,48.3494
42.8183,0.36,1.0,48.4548
43.2924,0.4741,1.0,48.6216
43.8104,0.518,1.0,48.3758
43.9508,0.1405,1.0,48.5689
43.986,0.0351,1.0,48.3582
44.2142,0.2283,1.0,48.3582
44.223,0.0088,1.0,48.3319
44.2054,-0.0176,-1.0,48.2792
44.4601,0.2546,1.0,48.9289
44.9078,0.4478,1.0,48.9377
45.0483,0.1405,1.0,48.6918
45.3731,0.3248,1.0,48.3143
45.6629,0.2897,1.0,48.4548
45.4697,-0.1931,-1.0,49.1133
46.3301,0.8604,1.0,49.122
46.4706,0.1405,1.0,48.7182
46.0492,-0.4214,-1.0,48.8148
46.0228,-0.0263,-1.0,47.9104
45.6892,-0.3336,-1.0,47.3398
45.7068,0.0176,1.0,47.9543
45.6892,-0.0176,-1.0,48.2704
45.7594,0.0702,1.0,47.8402
45.4083,-0.3512,-1.0,48.0246
45.5399,0.1317,1.0,48.7709
46.3213,0.7814,1.0,47.9631
46.5321,0.2107,1.0,47.9543
46.6813,0.1493,1.0,48.3055
47.252,0.5707,1.0,47.8841
47.6558,0.4039,1.0,48.0509
47.5944,-0.0615,-1.0,48.5601
47.7261,0.1317,1.0,48.7972
48.0246,0.2985,1.0,49.0079
47.77,-0.2546,-1.0,48.8323
47.6822,-0.0878,-1.0,48.4723
47.0061,-0.676,-1.0,48.0246
47.05,0.0439,1.0,47.8227
47.3398,0.2897,1.0,47.0237
47.5505,0.2107,1.0,47.0237
47.2256,-0.3248,-1.0,47.1378
47.9192,0.6936,1.0,46.7779
47.4188,-0.5004,-1.0,47.0061
47.0413,-0.3775,-1.0,47.1466
47.1291,0.0878,1.0,46.8832
47.6207,0.4917,1.0,46.6286
47.6295,0.0088,1.0,46.8218
47.5593,-0.0702,-1.0,46.1106
46.9008,-0.6585,-1.0,45.6453
46.7428,-0.158,-1.0,46.2687
46.8218,0.079,1.0,46.4969
47.0852,0.2634,1.0,46.3916
47.5241,0.439,1.0,46.6637
48.3846,0.8604,1.0,46.2511
47.7788,-0.6058,-1.0,46.4355
47.6471,-0.1317,-1.0,46.1018
46.7779,-0.8692,-1.0,45.7858
46.6637,-0.1141,-1.0,44.7059
46.5233,-0.1405,-1.0,45.259
46.0667,-0.4565,-1.0,45.4873
46.2862,0.2195,1.0,46.6111
45.6014,-0.6848,-1.0,46.6637
